time,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
0,0.000944793548081951,0.00109291637750775,0.00127380133880778
0.005,0.00118960076172009,0.00152270597316799,0.00131572823408314
0.01,0.00136210822858766,0.00186231184093932,0.00129067435768995
0.015,0.00145309951007733,0.00208684906066562,0.0011956418872938
0.02,0.00145868435329775,0.00218720620801262,0.00103534993505176
0.025,0.00137673666139948,0.00215739783187313,0.000813746096620301
0.03,0.00121658208468962,0.00199480572098095,0.000538157822383077
0.035,0.000988364302153503,0.00171287651470454,0.000221655082419148
0.04,0.000707139514183555,0.00133083291272523,-0.000119528880823848
0.045,0.000389879732891443,0.000868376431521026,-0.000470636485672419
0.05,5.79416363112122e-05,0.000354115922554409,-0.000811867048637954
0.055,-0.000270322057759955,-0.000177805063445265,-0.00112275458308755
0.06,-0.000574198288406607,-0.000697043631907501,-0.00138848456112632
0.065,-0.000836068480112929,-0.00117217879716581,-0.00159064133196185
0.07,-0.00104203081875157,-0.00157207636488629,-0.00171554007407093
0.075,-0.00117892863651104,-0.00187248640273873,-0.00175413330816947
0.08,-0.00124104169926559,-0.00205709704627569,-0.00170269310502272
0.085,-0.0012241336782971,-0.00211465499318687,-0.0015581877280078
0.09,-0.00113556843060586,-0.00203852393858362,-0.00132563152525157
0.095,-0.000978982579321791,-0.00183907702107114,-0.00101539634393205
0.1,-0.000767952679926375,-0.0015278105617204,-0.00064048896406131
0.105,-0.000518272182430708,-0.00112256565391441,-0.000218295919232719
0.11,-0.000244949166444415,-0.000651130656611926,0.000229328953939938
0.115,3.46109010304808e-05,-0.00014422741930779,0.000677920930621087
0.12,0.000300744727264875,0.000368356621942139,0.00110496850236488
0.125,0.000538902323412757,0.00085472432908778,0.00148716771222819
0.13,0.000733367630382111,0.00128150790340405,0.00180011793363193
0.135,0.000871665996389893,0.00162426787567029,0.00202607098291507
0.14,0.000949604301929947,0.00186197145088162,0.00215154352293574
0.145,0.000959193396497125,0.00197976606606728,0.00216679157424001
0.15,0.000905605392049179,0.00196864147570643,0.00206631962012786
0.155,0.000793890828222877,0.00183439394850235,0.00185282538809228
0.16,0.000633211162668518,0.00158522446589787,0.00153652588597143
0.165,0.000436045413578083,0.00123467315722946,0.00112790673318834
0.17,0.000217362593988751,0.000810532291517482,0.000650776211294232
0.175,-7.37175898123197e-06,0.000338576815903548,0.000128923120903123
0.18,-0.000222131055761612,-0.000153287967961577,-0.000414164484994261
0.185,-0.000412834000449214,-0.000631851811928202,-0.000946465884413637
0.19,-0.000566050981156849,-0.00106253406824028,-0.0014386808175956
0.195,-0.000669915409150006,-0.00142356343685576,-0.00186443450583731
0.2,-0.000720554237896882,-0.00168880221873545,-0.00220271360659121
0.205,-0.000712340258562808,-0.00184228613399158,-0.00242902216806211
0.21,-0.0006493602514535,-0.00187291665736019,-0.00253066736229249
0.215,-0.00053755121421125,-0.00178407094000504,-0.00250037042216062
0.22,-0.000384760761507121,-0.00157708904515017,-0.00233626187841618
0.225,-0.000205300203809467,-0.00126822574527821,-0.00204460671837762
0.23,-1.25927207726839e-05,-0.000878240301721375,-0.00164063727543853
0.235,0.000180468906607,-0.000432854885240895,-0.00114231244056554
0.24,0.000357655570538403,4.20036008808187e-05,-0.000575329505908774
0.245,0.000503681791638211,0.000510387037683434,3.07826842286634e-05
0.25,0.000610731609331387,0.000942768540176466,0.000641895723805347
0.255,0.00066715517571222,0.00131393955966516,0.00123067460084095
0.26,0.000666492913738619,0.00159635478584052,0.00176162510979643
0.265,0.000612003878254415,0.00177101592985242,0.00220631621328775
0.27,0.000503789144344004,0.00182900105668899,0.00254077376277685
0.275,0.000350226363647122,0.00176601959517519,0.00274581209344691
0.28,0.000163812440839081,0.00158500392209836,0.00280654537385011
0.285,-4.34772347855955e-05,0.0012983410499406,0.00272132014496589
0.29,-0.000257861090584873,0.000927423042078948,0.00249185943542347
0.295,-0.00045916367811026,0.000492222832850221,0.00212798186544752
0.3,-0.000636381612397344,2.28023998007525e-05,0.00164866528175365
0.305,-0.000774533311324116,-0.00044892126988461,0.00107979293624338
0.31,-0.000858707279178297,-0.000891495955778561,0.000447871141638826
0.315,-0.00088310383977153,-0.00127876377976187,-0.00021244867134803
0.32,-0.00084349637319332,-0.00158092488775535,-0.000867044558370687
0.325,-0.000738740134187951,-0.00178034049210778,-0.00148207878570718
0.33,-0.000573603867260077,-0.00186338551114008,-0.00202391548455139
0.335,-0.000359192332974339,-0.00182403022780701,-0.00246275369989863
0.34,-0.000106755948737092,-0.00166332698150586,-0.00277588778498515
0.345,0.000166068641035709,-0.0013934855486047,-0.00294588292636843
0.35,0.000442131255281217,-0.00103125482253342,-0.00296279224766947
0.355,0.000703581288619499,-0.000596727155855666,-0.0028261126193189
0.36,0.000931162478208834,-0.000119967947249574,-0.00254020547229845
0.365,0.00110721503827986,0.000366700412239103,-0.0021221081621813
0.37,0.00121952888172733,0.000833694888002666,-0.00159328036870566
0.375,0.0012569530659395,0.00125202442302191,-0.000977828394858464
0.38,0.0012124486660386,0.00159032474342599,-0.000309832184689353
0.385,0.0010864139791088,0.00182842975470545,0.000374582800873113
0.39,0.000884923275116726,0.00195190868358829,0.00104302801847327
0.395,0.00061726291781371,0.00194988076611343,0.00165947060434787
0.4,0.000297764359656191,0.00182122535116611,0.00218820067103832
0.405,-5.41567088177056e-05,0.00157611599138112,0.0026074974657532
0.41,-0.000417163343181177,0.00122907129013179,0.00289357746216339
0.415,-0.000769899746825425,0.000797718053423761,0.00302801342236113
0.42,-0.00108818614357356,0.000312186244154492,0.00300828466161921
0.425,-0.00135247070948946,-0.000194497769382339,0.00283609317590813
0.43,-0.00154409106464204,-0.000696003216886079,0.00251676330516002
0.435,-0.0016462793618689,-0.001158255528793,0.00206791469709821
0.44,-0.00165294626701603,-0.0015480276122658,0.00151565333927691
0.445,-0.00156014360767841,-0.00184393775819965,0.00088590963866633
0.45,-0.00136810430943224,-0.00202959208866751,0.000208434163611951
0.455,-0.00108829068866408,-0.00208433191701829,-0.000475099005081568
0.46,-0.000735160488624717,-0.00201146603992194,-0.00113464172604715
0.465,-0.00032630331539536,-0.00181411518851783,-0.00173724208649891
0.47,0.000114676933385313,-0.00150098710501951,-0.00224957310361118
0.475,0.000559285312497631,-0.00109065523789185,-0.0026455406035332
0.48,0.000985064305369253,-0.000614322218965142,-0.00290875893557002
0.485,0.00136528631572801,-9.53592040259311e-05,-0.00302424314793916
0.49,0.00167439315766525,0.000433602049755326,-0.00298429573210614
0.495,0.0018925803133349,0.000935396436669851,-0.00279586220536717
0.5,0.00200843371884353,0.0013809290994396,-0.00246680233778939
0.505,0.00200704612124045,0.00174678125847196,-0.00201240207720383
0.51,0.00189043312042192,0.00200546792667188,-0.00146023312016934
0.515,0.00166148993161108,0.00214098462887256,-0.000835506478585688
0.52,0.00133002988406227,0.00214907898865961,-0.000171377455539222
0.525,0.000915587737083621,0.0020266856598913,0.000500196348558178
0.53,0.000442070273690048,0.00177941492166794,0.00114437244401908
0.535,-6.84780587940441e-05,0.00142554553313058,0.00172875929008504
0.54,-0.000584805788278586,0.000986644548988883,0.0022264817364041
0.545,-0.00107512579237589,0.000485414061439791,0.00261016079024228
0.55,-0.00151244835440596,-4.26144878857577e-05,0.00286426378250526
0.555,-0.00187212117835621,-0.000568038791291362,0.00297302367249787
0.56,-0.00212899144823971,-0.00106000417129015,0.00293514616994123
0.565,-0.00226792249248273,-0.0014873643156133,0.00275057087500247
0.57,-0.00228104605725629,-0.00182479572441034,0.0024297849797798
0.575,-0.00216455662490272,-0.00205236370276874,0.00199057426880822
0.58,-0.00192460457959261,-0.00215832663976126,0.00145244070704245
0.585,-0.00157330976797393,-0.0021340247310641,0.000844417917140514
0.59,-0.00112939990607336,-0.00198462861657972,0.0001961600476986
0.595,-0.000616969468138149,-0.00171829192711523,-0.000460573221200227
0.6,-6.61335733807307e-05,-0.00135109075003905,-0.00109354791806683
0.605,0.000494719150941455,-0.000906953406971163,-0.00167089745389503
0.61,0.00103153215769278,-0.000411102490653287,-0.00216467258820555
0.615,0.00151606790758283,0.00010347986688754,-0.00255193537405308
0.62,0.00191781090859136,0.00060970009120715,-0.00281045255065209
0.625,0.00221793020982871,0.00107529202695108,-0.0029300860826412
0.63,0.00239521914210349,0.00147389469683109,-0.00290640256055218
0.635,0.00244090248078347,0.00178157063027956,-0.00273637384789969
0.64,0.00235155515290292,0.00198412890685267,-0.00243309854320026
0.645,0.00213188844688795,0.00206784055631275,-0.00200926676266347
0.65,0.00179210731848462,0.00203030473501634,-0.00148596951943996
0.655,0.00135419301131158,0.00187599695676998,-0.000888983029655421
0.66,0.000839306897182042,0.00161397491685978,-0.000249754174882419
0.665,0.000275949124989155,0.00126213964707345,0.000402778864768012
0.67,-0.000301859959146032,0.000843645318667501,0.00103581427584464
0.675,-0.000865021788365555,0.000381599828554437,0.00161610761476689
0.68,-0.00138210414764342,-9.5140741398908e-05,0.0021185637471037
0.685,-0.0018230405621739,-0.000559401774307947,0.00251475676992112
0.69,-0.00216423000148147,-0.000984439645681172,0.00278725674780903
0.695,-0.00238839362243106,-0.00134589751357206,0.00292247718871896
0.7,-0.00247939087111398,-0.00162436502792045,0.00291141139680251
0.705,-0.00243695077482998,-0.00180600886445084,0.00275535474707952
0.71,-0.00226216779210873,-0.0018811343160664,0.00246184671030301
0.715,-0.0019633164258337,-0.00184780322586306,0.00204617180660414
0.72,-0.00155888674611165,-0.00171077938403919,0.00152597108989594
0.725,-0.00107326050111076,-0.00148086728127278,0.000930302418652258
0.73,-0.000529699219293065,-0.00117096669495431,0.000286979765988959
0.735,3.93227640146101e-05,-0.000801851919877922,-0.000373425092980659
0.74,0.000603740862981981,-0.000395389303391582,-0.00101523275514059
0.745,0.00113346680011328,2.44246973273248e-05,-0.0016074826052856
0.75,0.0015988966949655,0.000435015799622461,-0.00212136449885987
0.755,0.00197575135925904,0.000808613642396201,-0.0025301633847463
0.76,0.00224507352341168,0.00113081665351116,-0.00281053389754293
0.765,0.0023915837382348,0.00138329575873185,-0.00294992810475485
0.77,0.00240951246246121,0.0015495025177878,-0.00294199677429901
0.775,0.0022985961321805,0.0016280955806056,-0.00278272574424864
0.78,0.00206647314599963,0.00161534820818778,-0.00248333748611794
0.785,0.00172785156243328,0.00151249514594904,-0.00205655005494164
0.79,0.0012997479886072,0.00132906363033774,-0.00152437925021307
0.795,0.000806103854636431,0.00108037628309983,-0.000912323766755692
0.8,0.000273982214416244,0.000777012488982348,-0.000253178917053726
0.805,-0.000268168135181212,0.00043963935925438,0.000419516120761334
0.81,-0.000791518168040349,9.0715804485076e-05,0.00107379554780789
0.815,-0.00126850762548664,-0.000254139940125126,0.00167371643410007
0.82,-0.0016744041388104,-0.000576843809855579,0.00218726202877881
0.825,-0.00198771439402677,-0.000856918201927958,0.00259020857408661
0.83,-0.00219505033521998,-0.00108205616020846,0.00285946806718353
0.835,-0.00228516898472939,-0.00124602097180215,0.00298301107074387
0.84,-0.00225566731985799,-0.00133680658762375,0.00295035849902682
0.845,-0.00210905376228827,-0.0013542885620771,0.00276835708908328
0.85,-0.0018539866419814,-0.00130227676724664,0.00244081971984814
0.855,-0.00150542114113191,-0.00118414185447461,0.00198607361364515
0.86,-0.00108101680459477,-0.00100505832517235,0.0014295433153459
0.865,-0.000606731418540479,-0.000781895836731194,0.000798398788096623
0.87,-0.000106020510767329,-0.000525418463135772,0.000123579987328707
0.875,0.000396383532807608,-0.000249316520299164,-0.000556428392005734
0.88,0.00087035013295117,3.23021198290409e-05,-0.00120411587604094
0.885,0.00129518885824852,0.000301954480756011,-0.0017921223569033
0.89,0.00165019465656887,0.000548892152757948,-0.00228400863987357
0.895,0.00191435043579497,0.000763381016752379,-0.00265383857987275
0.9,0.00207946006800766,0.000931011167751847,-0.00288728592825489
0.905,0.00213840262164585,0.00104863126762722,-0.0029675100063247
0.91,0.00208467828930967,0.00111281160457678,-0.00288863924245249
0.915,0.00192796125903145,0.00111885692873922,-0.002660807637723
0.92,0.00167593464734175,0.00106830685235796,-0.00229396416049935
0.925,0.00133887593521855,0.000969949930861666,-0.00180363385465019
