time,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
0,0.000166041088768522,0.000945255270746525,-0.000837483001008866
0.005,0.00162464229448729,0.00261793797727271,-0.000247612879100549
0.01,0.00280976381251505,0.00378643951572365,0.000420635306757993
0.015,0.00347745432546067,0.00421852975071189,0.00102699919941416
0.02,0.00350543346658655,0.00382599287886696,0.00143403605777447
0.025,0.00286960452293478,0.00270268318889984,0.00154660822473307
0.03,0.00167906452058231,0.00107812971540257,0.00133037179494783
0.035,0.000158523579499414,-0.000737717509681873,0.000822238135966885
0.04,-0.00140214546834502,-0.00237420590823511,0.000116751691114248
0.045,-0.0027036448673234,-0.00350888952274886,-0.000633481659703324
0.05,-0.0035040398360751,-0.00393869144490617,-0.001272397623573
0.055,-0.00364570025579849,-0.00359920564116902,-0.00165648153225348
0.06,-0.0031014580692786,-0.00256031429819228,-0.00170080529385188
0.065,-0.00197951850753256,-0.00106543527161755,-0.00138233655410091
0.07,-0.000496093461826131,0.00057713049904566,-0.000766507688257299
0.075,0.00106448985556351,0.00204287162356584,2.75173013238123e-05
0.08,0.00240785739857134,0.00305160657928549,0.000833359052031714
0.085,0.00328679228936175,0.00340824717287556,0.00147730889725379
0.09,0.00353940640722162,0.00308223427932017,0.00181671164740669
0.095,0.003129051143212,0.00217248971185262,0.00178442284018395
0.1,0.00215275677573376,0.000882566302433371,0.0013759202416716
0.105,0.00079655944583897,-0.000509599151764945,0.000675226147977575
0.11,-0.000670611802266891,-0.00171566566439106,-0.000171198203289302
0.115,-0.00197682778721145,-0.00250555227331143,-0.000985790509883728
0.12,-0.00287635105318298,-0.00274810872792152,-0.00160365946036695
0.125,-0.00321793651213942,-0.00242176064115258,-0.00188988783613559
0.13,-0.00295775154109461,-0.00162807956270859,-0.00178173562689912
0.135,-0.00216026747836867,-0.000567224487420372,-0.00131244017050007
0.14,-0.000997511957883813,0.000528474439999163,-0.000573445349195739
0.145,0.000294331431882906,0.00143634300569728,0.000288115165292483
0.15,0.00146891850222726,0.00197337361730475,0.00108140355027504
0.155,0.00232208042174231,0.00205428968318666,0.00165173426462711
0.16,0.00270260048412174,0.00170817868115944,0.00188348059984418
0.165,0.00257075508396104,0.00102826691030451,0.00172526315641705
0.17,0.00198219392479916,0.00018657116131833,0.00121651350868731
0.175,0.00107596243634877,-0.000620032548768154,0.000472342634863834
0.18,3.53195991169633e-05,-0.00122291521706394,-0.000359130966510354
0.185,-0.000939998891653856,-0.0015163556450122,-0.00110804498061977
0.19,-0.00168059578680158,-0.00145788462447551,-0.00161402154633952
0.195,-0.00206299844598912,-0.00108366078756246,-0.00178800909564216
0.2,-0.00204618745966947,-0.000504965416541403,-0.00159900533864785
0.205,-0.00167661226817557,0.000134347250119168,-0.00109185032465641
0.21,-0.00103705890595072,0.000692918142027863,-0.000389341368835397
0.215,-0.000272005141289014,0.0010633666071989,0.000373789532953001
0.22,0.000462284880221627,0.00116438766186049,0.00103981090305477
0.225,0.00104254883777614,0.00100400567630928,0.00147620285897937
0.23,0.00137636778226625,0.000637915074169492,0.00161187415646513
0.235,0.00143350393646342,0.000152263203497517,0.00142979198530937
0.24,0.00124282995773591,-0.000335816159224487,0.000976400536428564
0.245,0.000864626120025451,-0.000716730044998015,0.000356106395564791
0.25,0.000393145507204863,-0.000918312947356865,-0.000299839881771955
0.255,-6.78898943952385e-05,-0.000920314847917773,-0.000878598156366817
0.26,-0.000443733189691921,-0.000724035768550853,-0.00125775494143321
0.265,-0.000692054752124409,-0.00039501382130853,-0.00137541838995798
0.27,-0.000790939940593638,-1.42184395890043e-05,-0.0012346972252564
0.275,-0.000755958631277444,0.000338188076158817,-0.000866960631499642
0.28,-0.000620519052137094,0.000603552262722184,-0.00036172736814139
0.285,-0.0004351164660984,0.000725764859355339,0.000178644783636695
0.29,-0.000234028992859094,0.000705049124052104,0.000645492706252987
0.295,-5.35434551536969e-05,0.000567706736555459,0.000967174576418498
0.3,9.53094060936358e-05,0.000343664069183412,0.001088972855555
0.305,0.000204681430272063,8.1431615442215e-05,0.0010057598754736
0.31,0.00028018487240372,-0.000158198251358272,0.000759227058059769
0.315,0.000332497750200144,-0.000347787061639325,0.000400178080133763
0.32,0.000367137817267998,-0.0004697617231253,5.10329113342828e-06
0.325,0.000393988845805553,-0.000509800172583181,-0.000355150477327845
0.33,0.000396178116943228,-0.000476400350890852,-0.00062387509019535
0.335,0.000364097801652471,-0.000400223590256342,-0.000766122874344149
0.34,0.000285938978520372,-0.000290645030746952,-0.000772264089623388
0.345,0.000158048293643942,-0.000158559807790241,-0.000654483676863321
0.35,-2.42280888071573e-05,-2.55478587821912e-05,-0.000447206680294577
0.355,-0.000228166408126742,0.000102159050098316,-0.000190678300590844
0.36,-0.000431709554518821,0.000237950242435485,6.85445446709209e-05
0.365,-0.000586410302549729,0.000357130245085746,0.000293360471076339
0.37,-0.00065467367263658,0.000455129750110188,0.000456360537797976
0.375,-0.000620877717429706,0.000520826468782023,0.000535964756260439
0.38,-0.000479200948260483,0.000532184947535347,0.000536353502557999
0.385,-0.000246864746137627,0.000465080235317295,0.000463588047769478
0.39,3.58593897066271e-05,0.000328414653680579,0.000333971181937511
