time,tableAccX_filtered,L1AccX_filtered,L2AccX_filtered,L3AccX_filtered
0,0.0121456375202765,0.0152217534924724,0.0154251913307534,-0.0204547047003002
0.005,0.017039350475448,0.0419622888709472,0.0350562737171596,-0.0347159427466349
0.01,0.021021237202743,0.056353616163511,0.0460426549624314,-0.0418762890731259
0.015,0.0236354209836881,0.0497693009566452,0.0433305818459435,-0.037998108178
0.02,0.0248156302614883,0.0243695872868657,0.028936682094685,-0.0244811768205754
0.025,0.0248008760050757,-0.00691236766501572,0.0114909246043735,-0.0078982673908153
0.03,0.023991360938324,-0.0269305021663766,0.00187307470822429,0.00305594207605757
0.035,0.022793162602752,-0.0241023127785178,0.00709131373265667,0.0024159702507725
0.04,0.0215457886857942,0.000300766391265526,0.0261269889623654,-0.00943272840059712
0.045,0.0205046324803145,0.0322304059742047,0.0501246145519033,-0.0256160158239958
0.05,0.0198455036256693,0.0526211537832166,0.0671352604389554,-0.0363839220897526
0.055,0.0196450497800107,0.0486922887263759,0.0688668060420731,-0.0347994915580651
0.06,0.0198719508519675,0.022043237348942,0.0554713325299639,-0.0210275130716283
0.065,0.0203920044801663,-0.011684062491423,0.035510457390029,-0.00257083128791119
0.07,0.0210083413575733,-0.031718887418121,0.0209306800884176,0.00996728194411923
0.075,0.0215417694865588,-0.0246982635969625,0.0200625508722872,0.00912666473613481
0.08,0.0219030265156581,0.00693330513827445,0.0326611846140007,-0.00472690918845581
0.085,0.0220960068263427,0.0457297660200709,0.0501346688882722,-0.0233686274048614
0.09,0.0221822464934074,0.0692360336506413,0.0607601171464971,-0.0355456075604318
0.095,0.0222138305475778,0.0632738078476641,0.0569027806029867,-0.0338175627580828
0.1,0.0221910761248811,0.0305394868349487,0.0398100999239726,-0.0192240888856163
0.105,0.0220629481072785,-0.0106877720018052,0.0190533607699542,-0.00101761772708099
0.11,0.0217927759496468,-0.0372748492320187,0.00675431856476849,0.00885394027996631
0.115,0.0214022178980348,-0.0348291799799828,0.0102651460778758,0.00303705067732509
0.12,0.020978239566164,-0.00619240880056128,0.0275540615161649,-0.0164318207799274
0.125,0.0206319555259414,0.0304137435692052,0.0482016046102861,-0.0389978779891246
0.13,0.0204403439292997,0.0524121655366414,0.0596048518477704,-0.0516294501813903
0.135,0.0204116094681957,0.0464470624950646,0.0545966142781718,-0.0465902926675201
0.14,0.0205047445078354,0.0163981001769409,0.0357290760978101,-0.0262494189310047
0.145,0.0206825128735756,-0.0189964287204491,0.013919010942998,-0.00183516355051359
0.15,0.0209545209848508,-0.0375285799268113,0.00194219469096891,0.0130446793250302
0.155,0.0213515739765107,-0.0269124653362735,0.00676780892030345,0.0104244815641092
0.16,0.0218689002216143,0.00774343227772181,0.025423352602449,-0.00735168551258278
0.165,0.0224052576042559,0.0468048417124638,0.0469255392635848,-0.029082410468545
0.17,0.0227694097719689,0.0677205881341698,0.0588734486202192,-0.0414594504192519
0.175,0.0227508045850606,0.0584426239053255,0.0550264911532727,-0.0370991126082346
0.18,0.0222608791262979,0.0243928576807247,0.0389885629637539,-0.0188790206808826
0.185,0.021427750722384,-0.014723753528752,0.0217912845263262,0.00177867744061187
0.19,0.0205707278072467,-0.0365264753018118,0.0151385969680077,0.0119245385458008
0.195,0.0200660799554328,-0.0291517649289211,0.0241367044437037,0.00494816129371747
0.2,0.0201536721201171,0.00197704231267722,0.0439649780852024,-0.0153986289170925
0.205,0.0207932749716384,0.0377389172536596,0.0628085226743325,-0.0372022712615935
0.21,0.0216691087564582,0.0568440937434498,0.0688645817352509,-0.0475271716808223
0.215,0.0223539850007715,0.048433088977332,0.0574496108373863,-0.040174480287667
0.22,0.0225200726711017,0.0185159015970412,0.0339001838304702,-0.0194399518922308
0.225,0.0221347909901176,-0.0140681448949249,0.0105157193924083,0.00241702537588649
0.23,0.0214659755628091,-0.0291309895595798,-0.000577274508915701,0.0125678631603289
0.235,0.0209310001140783,-0.0174084056915607,0.00569873967702367,0.00512690525369061
0.24,0.0208638098479201,0.013910444784481,0.0246027257342534,-0.0153425686359141
0.245,0.0213110050789126,0.0455740044530336,0.0447134582491936,-0.0365613335183887
0.25,0.0219953052683358,0.0580123810123858,0.054819430735701,-0.0459170283932008
0.255,0.0224669438166423,0.0430472881918166,0.0502177775038515,-0.0380270342743559
0.26,0.0223548676704517,0.00885518874900194,0.0352625423619251,-0.017803965237791
0.265,0.0215819916770952,-0.0249721497275543,0.0203269565119681,0.00258063838473119
0.27,0.0204387521115668,-0.0391314327626637,0.0152415361865836,0.0108863585887905
0.275,0.0194478346474498,-0.0259997289763538,0.0233937038117238,0.002208309912388
0.28,0.0190994489350503,0.00611182381325561,0.0398977040786116,-0.0181367241106358
0.285,0.0196093250343121,0.0382929692150298,0.0546525091030384,-0.037919375822751
0.29,0.0207973425409539,0.052402251411962,0.0585502180757497,-0.0451828173683067
0.295,0.0221748145723156,0.0418130357646514,0.049117413325759,-0.0352327370105539
0.3,0.0231956810220214,0.0148892355300299,0.0318110738308466,-0.013435375276358
0.305,0.0235110739009081,-0.0106155925366417,0.0167323908523343,0.00802113505489525
0.31,0.0231040605696132,-0.0186371910410118,0.012497659141793,0.0173612602277049
0.315,0.0222641678426296,-0.00450459480697667,0.0211914623008442,0.00986820739804408
0.32,0.0213993794424164,0.0225202557264822,0.0371468187162113,-0.009739466347212
0.325,0.020803928957246,0.0452041132220019,0.0506305859786651,-0.0303443913423037
0.33,0.0205328982601618,0.0490408248042967,0.0538299630321887,-0.0411238792003874
0.335,0.020431267393733,0.031068074477103,0.0455075106391472,-0.0377303041894132
0.34,0.0202857897375919,0.00150205192493966,0.0315700130237391,-0.0242100039635784
0.345,0.020008714507716,-0.0225737582352734,0.0212971488934188,-0.00995976867156017
0.35,0.0197125829124985,-0.027530762113123,0.0213878498135226,-0.00369669677929706
