Tn,A_1,A_2,A_3,A_4,A_5
0.02,0.916109398776554,0.903647779189495,0.903769036749521,0.903868754984672,0.904003558396053
0.04,1.73214500856495,1.07141166454582,1.0786961995143,1.0981208021875,1.11516320747677
0.06,3.90323175449915,1.64622809589599,1.4892321346478,1.46820475724052,1.39001954496745
0.08,2.44622424980034,1.36596713085965,1.25836333468936,1.20063829302136,1.10970193593471
0.1,4.9842288343719,2.06077009898237,1.64492666105261,1.56514912805694,1.45462824552042
0.12,4.58796223206881,3.41789236267573,2.86457796461082,2.49554312306007,2.15610165059055
0.14,5.21204381741714,1.91602168944104,1.76008224089468,1.67998785726541,1.48662306771962
0.16,2.69308755341516,1.81368769341709,1.73296569359871,1.62173474890493,1.38410958499077
0.18,3.2242803022923,2.37795528832217,2.02725009545882,1.74150871720707,1.37046124555611
0.2,2.63092752303564,1.91119095913777,1.87008053392069,1.773786033005,1.51864406012845
0.22,5.03519916758895,3.76988226274838,3.15382166299506,2.74365891101017,2.15582585148972
0.24,3.30000487837737,2.58060344376675,2.33186109667795,2.12063734419284,1.78313306318395
0.26,2.56723145374749,2.00430910471155,1.8238013434019,1.68712675376936,1.46608587852018
0.28,4.17320572073964,2.79916536163857,2.46616151456725,2.21080877292449,1.85375935046488
0.3,2.44077582547999,2.28856170734104,2.1006807536972,1.92827109714353,1.65454592352453
0.32,2.03172567456168,1.46616532392654,1.17813546491165,1.05795996490513,1.08030732421902
0.34,1.39381006188345,1.24474617044334,1.1881458861184,1.11073032867637,0.960985042261384
0.36,1.80078768787577,1.32466408623716,1.0614851396046,1.01836999908128,0.992475213517815
0.38,2.97821436327536,1.75096526483553,1.32168308979417,1.21857113407051,1.09971016378816
0.4,1.9588872354833,1.26727095459754,1.13406936079668,1.09013166892102,1.07667444698095
0.42,2.72561224504599,1.83786425136584,1.57703124956301,1.39640387117924,1.18947627987681
0.44,2.61808592342807,2.05323627477585,1.71027645699732,1.48188836883084,1.18686505348836
0.46,2.0699504445396,1.14105589016137,1.08977564516191,1.11893712216829,1.05156006655563
0.48,2.11900674165313,1.68581873531365,1.47521095747339,1.31865245821381,1.15765860658834
0.5,3.75358060357816,1.94047815758605,1.66716842770484,1.53731898553247,1.33946048479042
0.52,2.75841617488141,2.21722823085163,1.87106422704952,1.67292684530853,1.42749823097107
0.54,3.11086188637114,2.32746682436651,1.93643757542169,1.70015560043327,1.414284684208
0.56,3.47539287196268,1.89563139363934,1.64680234885193,1.50100672821955,1.31732991429288
0.58,2.04202414111667,1.58005259755309,1.29695889475967,1.25801012968435,1.18128911200313
0.6,2.04603160184717,1.19047067032327,1.06394096174446,1.08081573523031,1.07469432067493
0.62,1.32472809071805,1.08427503495811,1.06811837235756,1.0688167922185,1.04731119610475
0.64,1.35151433700624,1.24216896808281,1.18109807829379,1.13342746157948,1.060932277212
0.66,1.33306435891687,1.2586044119473,1.19305999568906,1.13977446885961,1.05698702920455
0.68,1.35905260106597,1.13504395818846,1.11653278738732,1.09020367070332,1.03168306927079
0.7,1.39968979430652,1.09182339656352,1.08362004051989,1.06504652963973,1.01273106787326
0.72,1.33369767679437,1.16499208695469,1.12214199040091,1.08349145904179,1.00957931284983
0.74,1.3009257906119,1.22313585450185,1.16001776401095,1.10377907778931,1.00611755323958
0.76,1.53092558995313,1.23491892758883,1.16529359190594,1.10034681179389,0.987990696057578
0.78,1.81031548154448,1.22618233786417,1.14353925990649,1.07141060668377,0.949753111955381
0.8,1.752230091338,1.22621187995871,1.09391133383007,1.01688286889794,0.890950053036482
0.82,1.51178050472623,1.28308631567569,1.1294997632669,1.00262127987059,0.812632313544797
0.84,1.487229705666,1.295069969433,1.13939609406885,1.01152010668188,0.817074694280456
0.86,1.61065355035902,1.23647144272846,1.09012747564007,0.969998086215285,0.789009628031347
0.88,1.6956910387698,1.13052259590465,0.998144618720175,0.891799935379263,0.733957791269627
0.9,1.42898949111721,1.01432073035901,0.870279544007136,0.784935954549434,0.660536346616917
0.92,1.25386458291736,0.859657088047156,0.712258358796636,0.655917826966622,0.575553428566887
0.94,0.97321252454094,0.710875554656063,0.649273678685392,0.614103036878166,0.55299561085719
0.96,0.778686070506849,0.71919285758701,0.663757061333757,0.62805965773497,0.564167516197818
0.98,0.790754707718951,0.727761630656879,0.673397602009841,0.636079517206579,0.569727000911908
1,0.817490280049397,0.73522220927386,0.677664432154551,0.637659285438627,0.569185109618102
1.02,0.774618670222446,0.716929972060293,0.668614530572138,0.630760435306633,0.562910340588861
1.04,1.10622612250902,0.703507386710666,0.658531333552876,0.619690951001606,0.551722032944199
1.06,1.1941926509072,0.690890642170182,0.643873741864694,0.60375097000135,0.536265662446822
1.08,0.976805003188526,0.805194840713558,0.715772244307289,0.653490919088286,0.561307047779411
1.1,1.35342785412159,0.886418335078413,0.786777109054446,0.712257969128168,0.597532251964214
1.12,1.898946959227,1.11289638292373,0.834228646277224,0.747407471087439,0.616790397429179
1.14,2.13534292364083,1.32703607237601,0.919863863435721,0.755967336159654,0.618690186597715
1.16,2.02548079677526,1.30055549989386,0.912040529682435,0.743056913125255,0.606625341943167
1.18,1.67751400731692,1.10304123880489,0.83275540613252,0.719977459714189,0.587047536404824
1.2,1.31568311665767,0.939843953773084,0.789009245134161,0.68781765853943,0.561649873169088
1.22,1.08771698336321,0.842201016051475,0.721077396829957,0.645915335905844,0.529839327683069
1.24,0.920240188715382,0.74825858633849,0.674164084116445,0.607464614925516,0.514108756851748
1.26,0.797719399548454,0.702134258652347,0.633923865726095,0.581497478536032,0.496118895921594
1.28,0.824520555081814,0.660140753987315,0.600899719734846,0.554326797385576,0.47546331544622
1.3,0.76119244544078,0.60999271207733,0.563288342132307,0.522161819803751,0.451454154062546
1.32,0.684153361697911,0.55540061009887,0.52073211063979,0.486802103306847,0.424852713486854
1.34,0.59158688144732,0.511361067553974,0.481911044482479,0.457059084707455,0.411182217286548
1.36,0.570358403227061,0.48976062008397,0.465545122445217,0.441909627574936,0.397897004615753
1.38,0.516169110731918,0.480165539733553,0.451885569311111,0.427455475750433,0.384614381290527
1.4,0.493456453254021,0.460871448131494,0.434670086739676,0.411641345601347,0.371009340232651
1.42,0.453204883643679,0.435016146646289,0.415029762800106,0.394959946730881,0.357100932322032
1.44,0.426273712769643,0.415064876502171,0.398005364923008,0.379359074752123,0.343156758451603
1.46,0.443206396707678,0.40598274207294,0.385348347290458,0.365427545256139,0.329259150948217
1.48,0.498373765040967,0.399704941804097,0.373642955946051,0.351634698158634,0.315079618542718
1.5,0.500483549650978,0.386081926194101,0.358469105340591,0.336133345945258,0.300298636733021
1.52,0.454473753348242,0.362884763999935,0.338928215692126,0.318575714906664,0.284985823341751
1.54,0.352483924142545,0.335588757583995,0.317639172913201,0.300254204565741,0.270750604282437
1.56,0.323083028188691,0.312359812454028,0.298049203003631,0.28581674891277,0.262067660254097
1.58,0.310986858803486,0.299441664823239,0.288149348152106,0.2761204729536,0.253076273948576
1.6,0.310754289340373,0.294554166340566,0.279922851368158,0.266693063296265,0.243643696147669
1.62,0.31169410374623,0.28801299929907,0.27043169120958,0.256244173652659,0.233554470644535
1.64,0.298942019333272,0.274524161053197,0.25721227815364,0.243734082195235,0.22266822974215
1.66,0.271602019711013,0.253853266226527,0.240343327454072,0.229295232944922,0.211118670466766
1.68,0.237398173124409,0.230097945322244,0.222075147690895,0.214105292025491,0.199298806223599
1.7,0.211808744315531,0.209025061270283,0.205234994849798,0.199712487507491,0.187666983480498
1.72,0.213017007674662,0.194394424645254,0.191582816963058,0.18696928032627,0.176526667588145
1.74,0.217161846051323,0.185518652849564,0.180796778963118,0.175742818351539,0.165923161478256
1.76,0.221006149760188,0.178350098776402,0.171027874070382,0.165164098146366,0.155701091378586
1.78,0.212517834031395,0.168501396885958,0.160123642171118,0.154211808253761,0.145663549462099
1.8,0.206503202400534,0.159582001901812,0.147073113856512,0.142426023482984,0.135761250072328
1.82,0.207483973459358,0.163489950151227,0.136124976140792,0.130169641130206,0.126070257580764
1.84,0.189300252796326,0.155822332975986,0.133135712542272,0.122392445426305,0.116880007272993
1.86,0.1577956587219,0.139858998435527,0.124511784475559,0.117656098029225,0.111226906090568
1.88,0.132282363698948,0.123691097941729,0.118206256530027,0.11447587538244,0.109460872712786
1.9,0.119623764230065,0.115899717780238,0.113200014868596,0.111015378264623,0.107436706787968
1.92,0.117039235143652,0.107491798901107,0.107863269531312,0.107412989132534,0.10535965562212
1.94,0.119745806046972,0.104751720959783,0.104044946690703,0.104407416191587,0.103473137904356
1.96,0.117424684009102,0.106758243487192,0.103584246270198,0.102516251515295,0.101939793230359
1.98,0.117285048020966,0.109378462794758,0.103433045034514,0.101866067858061,0.100793963954621
2,0.122014571956796,0.110260462800877,0.102743066859209,0.102181704767529,0.0999490859276034
2.02,0.121019465226619,0.107909530760167,0.105071493034378,0.102906111945862,0.0992227237597786
2.04,0.119562198952927,0.112072359350292,0.107020913687529,0.10338787353737,0.0983877798665768
2.06,0.124464867421081,0.114310220983398,0.107658447738248,0.103092256992416,0.0972573651781109
2.08,0.124281599026241,0.113507998006358,0.106481871389995,0.101715183832394,0.0957471240679812
2.1,0.119036549792683,0.109614889423116,0.103453120999305,0.0992316065262492,0.0938348212901726
2.12,0.109813429535521,0.103295407016499,0.0989490820229514,0.0958515737445843,0.0915954441024039
2.14,0.0983525047239943,0.0956226554848466,0.0936544667115472,0.0920098233978659,0.0891995941620485
2.16,0.086619122876901,0.0879024902166521,0.0883487594753709,0.0881671814580269,0.0868099148065495
2.18,0.0936377527048214,0.0814121871459557,0.0838057993612756,0.084786746431953,0.0845881815479238
2.2,0.0888205932251766,0.0771195482233093,0.0805717435134224,0.0821962896822793,0.0826540450200977
2.22,0.0839297638622942,0.0754563311390833,0.0788958095543004,0.0805339487417076,0.0810592584892009
2.24,0.0731279571689751,0.0762105804938404,0.0786635151636413,0.079739869445133,0.0797837403962157
2.26,0.0768566759613232,0.0787103917780303,0.0794829285593631,0.0795882958359213,0.0787464075276919
2.28,0.0833923167346997,0.0819823178282453,0.0808029337104415,0.079747541068265,0.0778297312146734
2.3,0.0894836378148036,0.0850384109913731,0.0820221390855139,0.0798521809909381,0.0769063887741487
2.32,0.0938252048646803,0.0870595141901491,0.0826074399077644,0.0795751760721228,0.0758479035160742
2.34,0.0955477855199528,0.0874726288635792,0.0822081623487369,0.0787027134315684,0.0745653758797146
2.36,0.0943496601368576,0.0860306339142972,0.0806533736700679,0.0771107343542958,0.0730275015481715
2.38,0.0905038603225946,0.0828049344793309,0.0779575709836372,0.0748114392025845,0.0712342348140753
2.4,0.0844052924769929,0.0781420578902859,0.0743116541102631,0.0719230917455452,0.0692314409462796
2.42,0.0763842907658124,0.0724135640344291,0.0700159311500844,0.0686472288257808,0.0671120870557069
2.44,0.0743119104335408,0.066078594492519,0.0654394241141029,0.0652312485972115,0.064976997880722
2.46,0.0751849643637772,0.0597700954677523,0.0609752760184219,0.061943843803528,0.0629339996501365
2.48,0.0822076652402434,0.0613463113513153,0.0570427938692374,0.0590435069845624,0.0610836566539148
2.5,0.0884868852444933,0.0638561288613083,0.0552367918838633,0.0567289557944392,0.0595031414001918
2.52,0.0883624363547294,0.0682616739169425,0.0577342971044656,0.0551280908196778,0.0582442509252959
2.54,0.089773051964546,0.0693853055673693,0.0583462659456611,0.0542781877835611,0.0573133913697147
2.56,0.08478541880757,0.0669589631803338,0.0570910010763181,0.0541142482582296,0.0566844814248236
2.58,0.075533118379079,0.0624453398576336,0.0545047627039436,0.0545013627759071,0.0563045259108834
2.6,0.0634726341418764,0.0568113069283596,0.0544262562975444,0.0552612944942638,0.0560998781447891
2.62,0.0570574962054964,0.0565794698131459,0.0563346889341509,0.0561895975020558,0.0559856637915514
2.64,0.0624882228343766,0.059835583192923,0.0581623256379807,0.0570789990936432,0.0558754803176388
2.66,0.0669750771263827,0.0625143050250199,0.0596336069014035,0.0577560017781145,0.0556902968253416
2.68,0.070095946895837,0.0643154150970008,0.0605470384617871,0.0580742107677903,0.0553657256230364
2.7,0.0715856796207247,0.0650525801228797,0.0607609096127003,0.0579395628039474,0.0548571299719738
2.72,0.0713826000346391,0.064648307512116,0.0602194968486142,0.0573074417415166,0.0541452696985922
2.74,0.0696391378605484,0.0631504904841247,0.058935187298718,0.0561877145616322,0.0532335084075603
2.76,0.0727668895783796,0.061483830000556,0.0569893608744079,0.0546243635196083,0.0521366437020737
2.78,0.0793484856944811,0.0644356944570879,0.0555860577031968,0.0526995512970634,0.0508932770245437
2.8,0.081992705676023,0.0652207830998172,0.0577735700600973,0.0530451635803229,0.0495582594953754
2.82,0.0810843247118989,0.0669149848622422,0.0589770867029231,0.0536412828986584,0.0481863299727518
2.84,0.080170941945683,0.0672349559737424,0.0590088047848843,0.0535271064228563,0.0468386001640709
2.86,0.0779478907714903,0.0656183454999063,0.0578639235192789,0.0526932148610201,0.046333230039473
2.88,0.073122975450325,0.0625336936272165,0.0557612361043681,0.051232842294767,0.0455735429058429
2.9,0.0671541500653301,0.0580910465953,0.0529623937957277,0.0493478969926484,0.0446146740934507
2.92,0.0673847456892472,0.0577005613381206,0.0516736140302668,0.0478322435685227,0.0435867510654383
2.94,0.065477139493822,0.0567878333064032,0.0513455501917683,0.0478323698403526,0.0438390229620962
2.96,0.0615268462491498,0.0545916624004497,0.050221697877762,0.0473369801584285,0.0438948654688783
2.98,0.056140230654929,0.0514577099462248,0.0485150661762217,0.0464793534647891,0.0438001859566682
3,0.0536772611662034,0.0478099674420066,0.0464979730879532,0.0454218508554692,0.0436145786617005
